timestamp,src_ip,dst_ip,protocol,attack_type,severity,confidence,status
2026-01-07 19:11:10,192.168.1.100,Test Attack,Test,100%,System test
2026-01-07 22:34:10,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 35616.3841, threshold: 5.7983)"
2026-01-07 22:34:10,185.125.190.57,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 35615.6444, threshold: 5.7983)"
2026-01-07 22:34:38,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 43446.3155, threshold: 5.7983)"
2026-01-07 22:34:40,185.125.190.57,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 43445.5827, threshold: 5.7983)"
2026-01-07 22:34:54,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 45836.1764, threshold: 5.7983)"
2026-01-07 22:34:55,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 45846.1763, threshold: 5.7983)"
2026-01-07 22:34:55,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 47750.1520, threshold: 5.7983)"
2026-01-07 22:34:55,34.49.39.67,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 47749.5409, threshold: 5.7983)"
2026-01-07 22:34:55,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 47750.1404, threshold: 5.7983)"
2026-01-07 22:34:55,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 47790.9334, threshold: 5.7983)"
2026-01-07 22:34:55,34.49.39.67,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 47749.5292, threshold: 5.7983)"
2026-01-07 22:34:55,34.49.39.67,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 47749.5292, threshold: 5.7983)"
2026-01-07 22:34:55,34.49.39.67,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 47750.3308, threshold: 5.7983)"
2026-01-07 22:34:55,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 47750.1404, threshold: 5.7983)"
2026-01-07 22:34:57,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 45836.1764, threshold: 5.7983)"
2026-01-07 22:34:58,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 45846.1763, threshold: 5.7983)"
2026-01-07 22:35:06,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 35033.3904, threshold: 5.7983)"
